total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_year
2.6,1.86,0.11,0.55,0.08,7.5,1990.0
2.59,0.49,0.04,1.63,0.43,8.6,2008.0
2.58,1.4,0.03,0.88,0.26,8.0,2006.0
2.57,2.11,0.0,0.19,0.27,7.5,2013.0
2.56,1.76,0.03,0.55,0.22,8.5,2009.0
2.55,0.43,0.05,1.68,0.38,9.0,2015.0
2.52,1.13,0.06,1.12,0.22,8.2,2001.0
2.51,0.6,0.08,1.45,0.38,8.9,2013.0
2.5,1.59,0.05,0.54,0.33,8.3,2008.0
2.5,0.13,0.26,0.07,2.05,7.5,2008.0
2.49,1.49,0.01,0.55,0.44,7.5,2014.0
2.48,0.86,0.18,1.06,0.37,8.3,2011.0
2.48,1.15,0.06,1.14,0.13,7.5,1999.0
2.47,0.22,1.25,0.73,0.27,7.5,2014.0
2.47,1.38,0.0,0.84,0.25,8.3,2008.0
2.45,1.18,0.13,0.74,0.4,7.5,2015.0
2.42,1.56,0.02,0.61,0.23,8.2,2008.0
2.42,1.26,0.46,0.61,0.08,8.9,1999.0
2.41,1.44,0.04,0.71,0.22,8.0,2011.0
2.41,1.73,0.02,0.43,0.23,8.5,2011.0
2.41,0.69,0.04,0.0,1.68,7.5,2007.0
2.41,0.29,0.54,1.18,0.41,6.0,2010.0
2.4,1.28,0.01,0.9,0.21,7.5,2013.0
2.4,1.08,0.04,0.88,0.4,7.5,2013.0
2.4,1.72,0.01,0.45,0.22,8.0,2008.0
2.38,1.94,0.03,0.39,0.02,7.5,1998.0
2.37,0.96,0.04,1.08,0.3,5.9,2004.0
2.37,1.25,0.01,0.86,0.26,7.5,2004.0
2.34,0.92,0.01,0.0,1.41,7.5,2007.0
2.34,1.07,0.08,0.8,0.38,8.6,2014.0
2.33,1.38,0.02,0.72,0.21,6.6,2011.0
2.32,0.79,0.04,1.35,0.14,6.0,1998.0
2.31,1.65,0.1,0.46,0.1,7.5,1998.0
2.31,1.28,0.0,0.82,0.2,8.0,2010.0
2.31,0.85,0.09,1.06,0.32,7.5,2004.0
2.29,1.08,0.15,0.74,0.32,6.7,2011.0
2.28,0.3,0.46,1.27,0.26,7.0,2009.0
2.28,0.38,0.01,0.07,1.82,7.5,2008.0
2.27,1.06,0.1,0.75,0.36,7.5,2012.0
2.26,0.89,0.04,0.97,0.37,6.8,2016.0
2.25,1.4,0.02,0.53,0.3,8.2,2007.0
2.25,1.52,0.2,0.46,0.08,7.5,1997.0
2.24,1.19,0.22,0.71,0.13,7.5,2002.0
2.23,1.74,0.21,0.25,0.03,7.5,1990.0
2.22,0.8,0.16,0.93,0.34,7.5,2018.0
2.22,1.45,0.04,0.34,0.39,7.5,2013.0
2.2,1.03,0.0,0.96,0.21,8.8,2010.0
2.2,1.45,0.02,0.54,0.2,8.6,2010.0
2.19,0.34,0.55,0.97,0.32,7.5,2011.0
2.19,1.3,0.01,0.67,0.21,8.1,2010.0
2.18,0.97,0.05,0.8,0.36,7.5,2015.0
2.18,0.62,0.04,1.18,0.34,5.8,2017.0
2.17,0.75,0.03,1.04,0.35,7.5,2013.0
2.16,0.36,0.09,1.4,0.32,7.5,2016.0
2.15,1.5,0.02,0.55,0.08,7.5,2000.0
2.15,0.72,0.14,0.97,0.33,7.5,2015.0
2.13,1.62,0.05,0.27,0.18,9.0,2011.0
2.11,1.68,0.02,0.31,0.09,8.7,2002.0
2.11,0.11,0.4,1.34,0.26,7.7,2008.0
2.11,1.86,0.01,0.12,0.13,8.8,2010.0
2.09,1.26,0.05,0.6,0.18,7.5,2003.0
2.09,0.62,0.13,0.99,0.34,9.0,2010.0
2.09,1.77,0.02,0.13,0.17,7.4,2005.0
2.08,0.46,0.96,0.42,0.25,8.6,2010.0
2.08,1.41,0.01,0.49,0.17,9.6,2011.0
2.07,1.48,0.0,0.39,0.19,8.4,2009.0
2.07,0.61,0.05,1.08,0.32,7.5,2016.0
2.06,1.84,0.01,0.04,0.16,8.8,2005.0
2.06,0.68,0.79,0.46,0.13,9.1,1999.0
2.06,1.15,0.04,0.77,0.1,5.4,2004.0
2.06,0.89,0.02,0.95,0.21,7.5,2010.0
2.06,0.59,0.07,1.08,0.32,7.5,2012.0
2.06,1.2,0.04,0.62,0.19,8.6,2010.0
2.06,0.63,0.05,1.01,0.38,5.9,2008.0
2.05,0.75,0.54,0.53,0.22,9.0,2011.0
2.05,1.04,0.01,0.79,0.21,7.1,2007.0
2.04,0.29,1.43,0.22,0.1,9.5,2018.0
2.04,0.48,0.02,1.28,0.25,8.6,2007.0
2.04,0.73,0.04,0.91,0.36,7.2,2007.0
2.04,1.45,0.01,0.41,0.16,8.6,2011.0
2.04,0.82,0.06,0.84,0.33,7.5,2017.0
2.03,0.73,0.02,0.96,0.31,8.1,2010.0
2.01,0.58,0.03,1.05,0.35,6.3,2011.0
1.99,0.95,0.27,0.64,0.13,8.8,1998.0
1.99,1.21,0.05,0.64,0.09,7.2,2002.0
1.98,0.75,0.02,1.09,0.12,7.5,2002.0
1.98,0.53,0.09,1.07,0.3,7.5,2015.0
1.97,0.62,0.01,1.02,0.31,7.5,2016.0
1.97,1.12,0.07,0.61,0.16,7.5,2012.0
1.97,1.22,0.02,0.55,0.18,7.5,2013.0
1.96,0.5,0.63,0.5,0.33,8.4,2005.0
1.96,0.77,0.01,0.85,0.32,7.5,2013.0
1.95,0.65,0.07,0.92,0.3,7.5,2015.0
1.95,1.09,0.02,0.65,0.2,8.8,2006.0
1.95,1.01,0.02,0.63,0.28,9.0,2008.0
1.94,0.82,0.04,0.94,0.16,7.5,2012.0
1.94,1.41,0.03,0.42,0.07,7.5,1997.0
1.94,0.49,0.01,1.26,0.18,8.7,2008.0
1.93,0.34,1.3,0.26,0.03,7.5,1996.0
1.92,0.92,0.41,0.53,0.06,9.4,2001.0
1.91,0.59,0.01,1.0,0.3,7.5,2013.0
1.91,0.73,0.01,0.96,0.22,8.2,2009.0
1.9,1.03,0.03,0.75,0.09,9.2,2001.0
1.9,0.86,0.01,0.87,0.16,8.5,2013.0
1.9,1.15,0.0,0.58,0.17,7.5,2013.0
1.89,1.56,0.0,0.15,0.18,8.6,2008.0
1.89,0.86,0.0,0.83,0.2,7.5,2008.0
1.89,0.69,0.52,0.56,0.12,9.2,2018.0
1.88,0.25,1.48,0.12,0.03,7.5,2000.0
1.88,0.89,0.09,0.69,0.21,7.5,2005.0
1.88,1.42,0.03,0.36,0.07,7.5,1998.0
1.87,0.22,0.04,1.47,0.14,8.8,1999.0
1.87,1.05,0.08,0.48,0.26,8.1,2011.0
1.86,0.94,0.39,0.44,0.1,7.8,2000.0
1.86,0.87,0.41,0.52,0.06,9.3,2001.0
1.86,0.56,0.11,0.9,0.28,7.7,2014.0
1.86,1.12,0.03,0.69,0.02,6.9,2004.0
1.86,1.11,0.0,0.56,0.19,6.8,2008.0
1.86,0.59,0.06,0.93,0.27,7.5,2012.0
1.84,0.74,0.01,0.95,0.15,9.2,2018.0
1.83,1.33,0.03,0.4,0.07,7.5,1996.0
1.83,0.56,0.1,0.89,0.28,7.5,2014.0
1.82,0.74,0.04,0.74,0.3,9.5,2013.0
1.82,1.24,0.03,0.43,0.12,7.5,1994.0
1.82,1.09,0.02,0.53,0.17,9.7,2007.0
1.81,1.1,0.12,0.51,0.08,9.3,2000.0
1.81,1.41,0.03,0.21,0.16,7.5,2010.0
1.8,0.93,0.21,0.59,0.07,7.5,2003.0
1.79,0.44,0.03,1.04,0.27,7.5,2014.0
1.79,1.26,0.08,0.39,0.06,7.5,1994.0
1.78,0.39,0.02,1.01,0.36,7.5,2005.0
1.76,0.61,0.02,0.87,0.26,7.5,2001.0
1.76,1.07,0.01,0.45,0.24,8.4,2009.0
1.76,0.41,0.72,0.48,0.16,7.5,2012.0
1.76,1.02,0.2,0.47,0.07,7.5,1994.0
1.75,0.45,0.06,0.92,0.32,8.3,2010.0
1.75,0.73,0.07,0.66,0.28,7.5,2017.0
1.75,0.06,0.53,0.9,0.27,7.5,2001.0
1.75,0.85,0.01,0.66,0.22,7.5,2008.0
1.75,0.35,0.02,1.07,0.31,8.5,2007.0
1.74,0.72,0.04,0.89,0.1,7.5,1999.0
1.74,0.59,0.06,0.82,0.27,7.5,2018.0
1.73,0.94,0.1,0.62,0.07,7.5,2001.0
1.72,1.06,0.01,0.5,0.15,7.5,2013.0
1.72,0.75,0.06,0.62,0.28,8.9,2016.0
1.71,0.83,0.02,0.62,0.24,9.6,2011.0
1.71,0.74,0.07,0.52,0.38,3.2,2012.0
1.7,0.23,0.0,0.24,1.23,7.5,2009.0
1.7,0.68,0.01,0.88,0.13,7.5,2012.0
1.69,0.79,0.08,0.66,0.17,7.5,2009.0
1.69,1.22,0.04,0.34,0.1,7.5,2005.0
1.69,0.87,0.08,0.66,0.08,6.6,2001.0
1.69,1.01,0.01,0.51,0.15,7.5,2013.0
1.69,1.37,0.03,0.28,0.02,7.5,1997.0
1.69,0.8,0.01,0.7,0.18,6.3,2008.0
1.68,0.38,0.33,0.87,0.1,8.5,1997.0
1.68,0.85,0.02,0.68,0.14,8.5,2014.0
1.68,0.88,0.02,0.54,0.24,7.9,2008.0
1.67,0.96,0.08,0.42,0.21,8.7,2009.0
1.67,1.09,0.02,0.49,0.07,7.5,2001.0
1.67,0.97,0.04,0.59,0.07,8.9,2003.0
1.67,0.59,0.03,0.95,0.1,7.5,2001.0
1.67,0.69,0.13,0.59,0.26,7.5,2014.0
1.67,0.81,0.01,0.58,0.26,7.5,2006.0
1.66,0.78,0.06,0.61,0.2,7.5,2000.0
1.66,1.25,0.03,0.15,0.22,7.5,2002.0
1.65,0.76,0.02,0.69,0.18,7.9,2006.0
1.65,0.9,0.04,0.54,0.17,7.1,2007.0
1.64,1.09,0.02,0.37,0.16,6.7,2008.0
1.64,0.62,0.48,0.34,0.2,7.5,2017.0
1.63,0.71,0.32,0.48,0.11,9.3,1999.0
1.63,0.86,0.01,0.62,0.13,7.5,2012.0
1.62,0.53,0.13,0.71,0.25,7.9,2012.0
1.62,0.44,0.07,0.86,0.25,6.2,2015.0
1.62,0.8,0.01,0.63,0.19,7.5,2005.0
1.62,1.02,0.0,0.46,0.14,7.5,2010.0
1.61,0.48,0.03,0.84,0.25,7.5,2014.0
1.6,0.82,0.03,0.6,0.15,7.9,2011.0
1.6,0.59,0.02,0.83,0.17,8.0,2010.0
1.59,0.04,0.32,1.1,0.13,7.1,2008.0
1.59,0.61,0.46,0.41,0.1,8.6,1997.0
1.59,0.72,0.02,0.69,0.18,8.5,2008.0
1.59,0.6,0.02,0.72,0.25,7.3,2011.0
1.58,0.94,0.01,0.48,0.15,7.5,2008.0
1.58,0.58,0.34,0.45,0.2,8.2,2008.0
1.57,0.1,0.12,0.18,1.16,7.2,2009.0
1.56,0.8,0.01,0.59,0.16,7.5,2008.0
1.55,1.13,0.02,0.38,0.03,7.4,2000.0
1.55,0.72,0.04,0.54,0.26,7.5,2013.0
1.55,0.85,0.02,0.46,0.22,8.5,2010.0
1.55,0.57,0.02,0.87,0.09,7.5,2001.0
1.54,0.62,0.01,0.79,0.12,8.5,2012.0
1.54,0.91,0.01,0.35,0.27,7.5,2013.0
1.54,0.83,0.08,0.44,0.19,8.2,2001.0
1.54,0.42,0.33,0.66,0.13,7.0,2011.0
1.52,0.18,0.49,0.65,0.2,7.5,2012.0
1.52,0.7,0.01,0.64,0.16,7.5,2008.0
1.52,1.11,0.06,0.31,0.04,7.5,2002.0
1.52,0.58,0.01,0.81,0.12,8.9,2017.0
1.52,0.85,0.01,0.51,0.15,7.5,2008.0
1.52,0.18,1.27,0.06,0.01,7.5,1990.0
1.51,0.6,0.03,0.63,0.26,7.7,2006.0
1.51,0.47,0.06,0.74,0.23,7.5,2014.0
1.5,1.21,0.1,0.14,0.04,7.5,1999.0
1.5,0.66,0.15,0.52,0.17,7.5,2001.0
1.5,1.19,0.05,0.07,0.2,7.5,2000.0
1.5,1.2,0.02,0.27,0.02,9.1,2000.0
1.5,0.99,0.11,0.32,0.08,9.2,2003.0
1.5,0.47,0.44,0.41,0.18,9.0,2013.0
